"","X1","X15.9057654320988"
"1",1,15.9057654320988
"2",2,8.93966666666667
"3",3,10.288987654321
"4",4,10.0910987654321
"5",5,5.95411111111111
"6",6,10.4454197530864
"7",7,10.9374074074074
"8",8,12.6751975308642
"9",9,6.81186419753087
"10",10,17.6068148148148
"11",11,14.1728950617284
"12",12,16.9315308641975
"13",13,11.4897407407407
"14",14,6.614
"15",15,7.30102469135803
"16",16,7.26785185185185
"17",17,17.814049382716
"18",18,18.3098641975309
"19",19,15.5476205159123
"20",20,16.8111358024691
"21",21,17.2608888888889
"22",22,14.0277407407407
"23",23,13.064037037037
"24",24,13.3993580246914
"25",25,13.1212345679012
"26",26,7.18303703703704
"27",27,14.1498765432099
"28",28,9.30039506172839
"29",29,9.45174074074074
"30",30,9.37048148148148
"31",31,16.9447407407407
"32",32,8.7429012345679
"33",33,15.2716666666667
"34",34,16.1789012345679
"35",35,15.9024197530864
"36",36,14.7077407407407
"37",37,15.765975308642
"38",38,NA
"39",39,20.3388888888889
"40",40,10.3644814814815
"41",41,17.9607160493827
"42",42,18.6303209876543
"43",43,20.1520617283951
"44",44,20.1572098765432
"45",45,12.7533209876543
"46",46,6.86588888888889
"47",47,9.83391358024691
"48",48,10.8166049382716
"49",49,9.58167901234568
"50",50,5.45512345679012
"51",51,15.2775925925926
"52",52,10.7088024691358
"53",53,13.0238271604938
"54",54,15.0787283950617
"55",55,14.666012345679
"56",56,20.7035061728395
"57",57,12.0006172839506
"58",58,14.8223827160494
"59",59,10.0981111111111
"60",60,11.7172345679012
"61",61,12.003049382716
"62",62,13.036037037037
"63",63,NA
"64",64,13.7026666666667
"65",65,10.1549012345679
"66",66,20.624962962963
"67",67,15.7321728395062
"68",68,12.1723209876543
"69",69,20.8699382716049
"70",70,19.0882592592593
"71",71,21.3954567901235
"72",72,18.1539012345679
"73",73,22.3135802469136
"74",74,22.9008518518519
"75",75,21.1894567901235
"76",76,11.891
"77",77,19.5965555555556
"78",78,8.44998765432099
"79",79,4.91464197530864
"80",80,NA
"81",81,NA
"82",82,NA
"83",83,20.2133950617284
"84",84,17.0222716049383
"85",85,18.1523827160494
"86",86,20.0004938271605
"87",87,16.1479057927007
"88",88,9.51702469135802
"89",89,14.0422160493827
"90",90,18.0353343214866
"91",91,0.421259259259259
"92",92,NA
"93",93,11.0303086419753
"94",94,19.0278518518519
"95",95,19.1139259259259
"96",96,17.0610864197531
"97",97,20.425
"98",98,18.214024691358
"99",99,18.5896666666667
"100",100,19.6786543209877
"101",101,18.5782592592593
"102",102,15.9783209876543
"103",103,13.1248271604938
"104",104,9.75525925925926
"105",105,17.8724938271605
"106",106,21.4369382716049
"107",107,18.1377530864198
"108",108,16.1171234567901
"109",109,7.49283333333333
"110",110,16.4036049382716
"111",111,15.7919214878275
"112",112,12.6654012345679
"113",113,15.2837160493827
"114",114,11.2306697530864
"115",115,11.7745432098765
"116",116,12.4631975308642
"117",117,10.8584722222222
"118",118,17.5153518518519
"119",119,17.8650740740741
"120",120,9.55666666666666
"121",121,13.2969102978978
"122",122,11.4081838151938
"123",123,8.24160493827161
"124",124,10.3153086419753
"125",125,13.6821274196972
"126",126,14.7138703703704
"127",127,14.4093045071776
"128",128,18.2534567901235
"129",129,18.3398229266623
"130",130,16.9202654320988
"131",131,18.3353333333333
"132",132,7.68143209876543
"133",133,14.0067530864198
"134",134,17.2181004493902
"135",135,15.8618518518519
"136",136,16.2336049382716
"137",137,17.4475679012346
"138",138,12.3992592592593
"139",139,10.8724043209877
"140",140,15.1568518518519
"141",141,16.8101851851852
"142",142,13.9270740740741
"143",143,17.1749813351005
"144",144,18.5771049382716
"145",145,17.3436049382716
"146",146,17.1224598765432
"147",147,17.1118395459346
"148",148,12.7697037037037
"149",149,20.5105679012346
"150",150,17.9429290123457
"151",151,18.8979012345679
"152",152,18.4088395061728
"153",153,18.1459259259259
"154",154,18.2155679012346
"155",155,11.3221481481481
"156",156,16.4652743695263
"157",157,16.9163456790123
"158",158,17.0214104938272
"159",159,17.009743487357
"160",160,14.0080867759613
"161",161,13.4548624544523
"162",162,18.6512469135802
"163",163,10.447024691358
"164",164,16.3467345679012
"165",165,17.1726296296296
"166",166,18.8211358024691
"167",167,19.1595432098765
"168",168,10.8362345679012
